Spotify Artist,Tidal Artist,Spotify Title,Tidal Title,Tidal URL
Apparat,Apparat,Arcadia,Arcadia (Album Version),https://tidal.com/browse/track/32620806
Skeler,Skeler,Falling Apart,Falling Apart,https://tidal.com/browse/track/79673055
Danger,Danger,0:59,0:59,https://tidal.com/browse/track/134672286
PLAZA,Genereece,Demons,Fighting Demons (feat. Plaza KinG),https://tidal.com/browse/track/266692979
Mr.Kitty,Mr.Kitty,After Dark,After Dark,https://tidal.com/browse/track/67231275
Nostalghia,Nostalghia,Plastic Heart,Plastic Heart,https://tidal.com/browse/track/69872350
Boy In Space,Boy In Space,Cold,Cold,https://tidal.com/browse/track/246254246
Two Feet,Two Feet,Love Is a Bitch,Love Is a Bitch,https://tidal.com/browse/track/73768446
Lorn,Lorn,Acid Rain,Acid Rain,https://tidal.com/browse/track/72155000
Lorn,Lorn,Anvil,Anvil,https://tidal.com/browse/track/230584969
Kavinsky,Kavinsky,Nightcall,Nightcall,https://tidal.com/browse/track/18045972
Else,Else,Paris,Paris,https://tidal.com/browse/track/108361692
Above & Beyond,Above & Beyond,Sun In Your Eyes,Sun In Your Eyes,https://tidal.com/browse/track/169988828
NTO,NTO,Invisible - Paul Kalkbrenner Remix,Invisible,https://tidal.com/browse/track/174140031
Kavinsky,Kavinsky,Odd Look,Odd Look,https://tidal.com/browse/track/20792606
MILKBLOOD,MILKBLOOD,BOILER ROOM,BOILER ROOM,https://tidal.com/browse/track/214904624
Alex Somers,Thor Harris,End,The End of the Anthropocene (with Alex Somers),https://tidal.com/browse/track/164453169
